Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon
11,03-08-25,leopard,mainipurva,kheri,Uttar pradesh,77yr,Dead,The women was dragged to sugarcanefield by the leopard,"Leopard enters home, kills 77yo woman; 2nd fatal attack in week | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,02-08-25,leopard,bhaidpur,amethi,Uttar pradesh,55yr,injured,When he and his friends were heading towards forest an leopard hiding in the bushes pounced on them,Five injured in leopard attack in Amethi village | Lucknow News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30/05/25,leopard,kanakiya,Gir Somnath,Gujarat,60yr,Dead,She was attacked and drageed away when she steeped a few metters away from her home to use washroom,60-year-old mauled to death by wild animal in Gir Gadhda | Rajkot News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28/07/25,leopard,gaurapipra,bahraich,Gujarat,14yr,Dead,She went to field when a hiding leopard pounced on her,Leopard kills teen girl in Bahraich | Lucknow News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27/07/25,leopard,gyanpur,kheri,Uttar pradesh,6yr,Dead,While he was sleeping in a field with his father and later he was found missing and then found dead from a leopard attack,"Leopard snatches 6yo boy, eats parts of body in Kheri | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,02-08-23,leopard,raiganj,barabanki,Uttar pradesh,6yr,Dead,while she was playing outside her house,https://www.deccanherald.com/india/uttar-pradesh/girl-killed-woman-injured-in-separate-leopard-attacks-in-uttar-pradesh-2671295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11-10-24,leopard,malkapur,bijnor,Uttar pradesh,8yr,Dead,The leopard attacked her while she  was collecting fodder along her mother,Eight-year-old girl killed in leopard attack in Uttar Pradesh's Bijnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,05-10-24,leopard,shardanagar,kheri,Uttar pradesh,12yr,Dead,He and his father were passing through a sugarcane field when the leopard hidding in the field attacked the boy,Two children killed in separate incidents in suspected leopard attacks in Uttar Pradesh's Lakhimpur Kheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,27/08/23,leopard,shahpur,bijnor,Uttar pradesh,60yr,Dead,She had gone to the forest to get fodder and later was found dead,https://www.deccanherald.com/india/uttar-pradesh/elderly-woman-dies-in-leopard-attack-in-uttar-pradesh-2662758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16/05/25,leopard,sansarpur,bijnor,Uttar pradesh,52yr,Dead,He was returning home when a leopard appeared from fields near his home,UP Leopard Attack: Farmer Killed by Leopard in Bijnor's Sansarpur Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,23/08/24,leopard,jalalpur hasna,bijnor,Uttar pradesh,45yr,Dead,While he was working in his farm,Leopard kills farmer in Uttar Pradesh's Bijnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29/09/24,Tiger,bhadaiya,kheri,Uttar pradesh,40yr,Dead,He was attacked by the tiger which was hiding in the sugarcane field,Uttar Pradesh man critically injured in tiger attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20/06/25,Tiger,deshipura colony,chamarajanar,Karnataka,32yr,Dead,When she was herding the cattels in the field,Bandipur Tiger Attack: Woman Mauled to Death in 2nd Incident in 9 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,02-03-25,leopard,melli dara,namchi,Sikkim,--,injured,The woman was collecting fodder when the leopard attacked her,Woman injured in leopard attack in Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15/01/25,leopard,tamolipurwa,bharaich,Uttar pradesh,8yr,Dead,When the girl was in field with her parents and other kids the leopard emerged from the sugar field and attacked her,https://www.deccanherald.com/india/uttar-pradesh/minor-killed-in-leopard-attack-in-ups-bijnor-3357814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19/05/25,leopard,nimgaon swara,pune,Maharastra,35yr,injured,He was attacked while  he was at his farm with his family during night,Four injured in two separate leopard attacks in Junnar   | Hindustan Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12-07-24,leopard,somaigaurhi,bharaich,Uttar pradesh,14yr,Dead,He was attacked by the leopard when he went with him family to guard the maze field,14-Year-Old Killed In Leopard Attack In UP's Bahraich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,06-01-20,leopard,bhogpur,bijnor,Uttar pradesh,14yr,Dead,He was waling through sugarcane field when the leopard pounced on him and dragged and killed him,https://www.ndtv.com/india-news/leapord-that-killed-teen-5-others-in-up-shot-dead-by-angry-villagers-2159828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29/07/25,leopard,pataunja,bageshwar,Uttarakhand,60yr,injured,She was attacked in her courtyard,https://timesofindia.indiatimes.com/city/dehradun/leopard-mauls-elderly-woman-in-bageshwar-panic-grips-village/articleshow/123003604.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31/12/24,leopard,dindori,Nashik,Maharastra,8yr,injured,When was in the farm accompaning her mother the                           l eopard ponced and dragged her,https://timesofindia.indiatimes.com/city/nashik/8-year-old-injured-in-leopard-attack-in-nashiks-dindori/articleshow/116863268.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,03-05-25,leopard,mana kabhra,bagesjwar,Uttarakhand,4yr,Dead,The leopard pounced suddenly and dragged the kid away,Toddler dies after leopard snatches him from moms arms | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,05-12-24,Tiger,pitesur,bhandara,Maharastra,60yr,Dead,He went to go fishing in his farm and later he was found dead,https://timesofindia.indiatimes.com/city/nagpur/tragic-tiger-attack-claims-life-of-bhandara-farmer/articleshow/116019561.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11-05-25,Tiger,chichpalli,chandrapur,Maharastra,65yr,Dead,When she was collecting leaves the tiger emerged and  attacked her,Woman dies in tiger attack in Chichpalli; hunt on for killer of 3 women day earlier | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26/03/25,Tiger,devipura-majhgaon,champawat,Uttarakhand,45yr,Dead,When she was collecting woods from the forest the tiger attacked her,Woman mauled to death in tiger attack in Champawat | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,05-01-25,leopard,baba purva,kheri,Uttar pradesh,45yr,injured,He was attacked by the leopard when he went with him family to guard the maze field,https://timesofindia.indiatimes.com/city/bareilly/man-45-injured-by-big-cat-in-kheri/articleshow/116971098.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,04-01-25,leopard,dumera majhra,kheri,Uttar pradesh,14yr,Dead,He was attacked near his home,"Man, 45, injured by big cat in Kheri | Bareilly News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,05-05-25,leopard,bhedharwa,Champaran,Bihar,54yr,injured,The leopard attacked while he was sleeping,Two injured in East Champaran leopard attack | Patna News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,05-05-25,leopard,bilashpur,Champaran,Bihar,47yr,injured,He was attacked near a railway station,Two injured in East Champaran leopard attack | Patna News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27/08/25,leopard,rampur,Champaran,Bihar,35yr,injured,While the man was sleeping outside his home,https://timesofindia.indiatimes.com/city/patna/man-injured-in-leopard-attack-near-valmikinagar-railway-station-in-bagha/articleshow/123546757.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,09-09-25,leopard,badiya,bijnor,Uttar pradesh,8yr,Dead,while his mother went to fetch water the leopard from sugarcane field attacked the boy,ClearedRains drive leopards into villages; 3 kids killed in a week | Meerut News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23/07/25,leopard,mandurai,bijnor,Uttar pradesh,7yr,Dead,She didn't return back after playing outside and was later found dead,https://timesofindia.indiatimes.com/city/meerut/leopard-kills-7-year-old-girl-in-bijnor-village/articleshow/122887982.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,14/02/25, leopard,mukrampur,bijnor,Uttar pradesh,12yr,injured,She along with her mother went to collect fodder in sugarcane field when the leopard attacked her,https://timesofindia.indiatimes.com/city/meerut/girl-12-severely-injured-in-leopard-attack-in-bijnor/articleshow/118283888.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,15/10/23,leopard,sadakpore,navsari,Gujarat,24yr,Dead,She was attacked killed  during night time,Leopard mauls 24-year-old woman to death in Gujarat's Navsari district | Ahmedabad News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,14/10/23,leopard,wadala,amreli,Gujarat,55yr,Dead,Leopard attacked and killed her,Leopard mauls 24-year-old woman to death in Gujarat's Navsari district | Ahmedabad News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,29/08/23,leopard,chandpur,bijnor,Uttar pradesh,30yr,Dead,He went to sugarcane field but didn't return,Leopard Attack: 30-yr-old farmer mauled to death by leopard in Bijnor | Agra News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,17/11/24,Tiger,ganeshpur patli,chandrapur,Maharastra,72yr,Dead,He was attacked and dragged into nearby short shrubs,Tiger Attack Claims Life of Farmer in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,24/12/24,leopard,pimpalsuti,pune,Maharastra,4yr,Dead,The leopard hiding near her home pounced on her and dragged her to sugarcane field,4-year-old girl dies in leopard attack in Pune's Shirur taluka | Pune News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10-05-25,Tiger,medhamal,chandrapur,Maharastra,55yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10-05-25,Tiger,medhamal,chandrapur,Maharastra,30yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10-05-25,Tiger,medhamal,chandrapur,Maharastra,50yr,Dead,She along other two went to forest tocollect tendu patta,Three Women Mauled To Death in Single Tiger Attack in Chandrapur | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,22/01/23,leopard,horalahalli,mysuru,Karnataka,11yr,Dead,He was found about a km away from the village,Boy killed in suspected leopard attack in Mysuru | Mysuru News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,05-01-25,leopard,khalduwa,khandwa,Madhya pradesh,55yr,injured,The leopard attacked her while working,Leopard captured in Almora after injuring 8 in separate attacks | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,05-01-25,leopard,khalduwa,khandwa,Madhya pradesh,45yr,injured,The leopard attacked him while he was working,Leopard captured in Almora after injuring 8 in separate attacks | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,05-01-25,leopard,khalduwa,khandwa,Madhya pradesh,65yr,injured,The leopard attacked her while she was working,Leopard captured in Almora after injuring 8 in separate attacks | Dehradun News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,31/12/22,Tiger,torgoan,chandrapur,Maharastra,60yr,Dead,She was working in her field when the tiger attacked her,Man-animal conflict claims another life; 2022 toll reaches 53 | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,23/12/24,Tiger,kavitpeth,chandrapur,Maharastra,60yr,Dead,She was working in her field when the tiger attacked her,"Tiger kills woman in her farm, 29th death in wild animal attack in Chanda this year | Nagpur News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18/07/25,leopard,kalabari,jalpaiguri,West bengal,3yr,Dead,when the boy was sitting outside his home the leopard attacked him,Leopard kills boy in Kalabari tea estate | Kolkata News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20/07/25,leopard,mewatpur,pilibhit,Uttar pradesh,50yr,injured,While she was suspecting her sugarcane crop,"Leopard, jackal injure 2 in separate incidents | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,09-06-25,Tiger,mewatpur,pilibhit,Uttar pradesh,33yr,Dead,Tiger atacked him,"Leopard, jackal injure 2 in separate incidents | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,22/06/25,leopard,halsi,pauri garhwal,Uttarakhand,35yr,Dead,The leopard attacked her while she was grazing goats in her field,Leopard kills woman grazing goats in Pauri Garhwal | Dehradun News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,16/09/25,Tiger,bhojhba,kheri,Uttar pradesh,65yr,injured,He along with his son was attacked while collecting fodder in the field, https://timesofindia.indiatimes.com/city/bareilly/father-son-injured-in-tiger-attack-in-kheri/articleshow/123927628.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,16/09/25,Tiger,bhojhba,kheri,Uttar pradesh,30yr,injured,He and his father were collecting fodder in field when the tiger prowling in an adjacent field attacked on them,https://timesofindia.indiatimes.com/city/bareilly/father-son-injured-in-tiger-attack-in-kheri/articleshow/123927628.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,14/09/25,leopard,issepur,bijnor,Uttar pradesh,36yr,Dead,She was collecting fodder from the field when leopard came from the nearby sugarcane field,"Woman killed by leopard in Bijnor, 4th victim in 12 days | India News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,18/09/25,leopard,gadbori,chandrapur,Maharastra,7yr,Dead,He was attacked and dragged away,"7-year-old boy killed by leopard, body recovered | Nagpur News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,17/09/25,leopard,bagoya,amreli,Gujarat,25yr,injured,He was preparing a bullock cart near his home when the leopard suddenly leapt on him,Amreli man injured by leopard | Rajkot News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,16/09/25,leopard,kherkata,jalpaiguri,West bengal,13yr,Dead,The boy had gone to get chips from a local store when the leopard attacked him,Leopard mauls Nagrakata boy; 3rd kill in less than 2 months | Kolkata News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,17/09/25,leopard,tangiya,maharajganj,Uttar pradesh,15yr,injured,The leopard attacked herearly in the morning  while she was sleeping at her home,"Leopard drags girl from home, leaves her mauled | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,15/09/25,leopard,nandwal,bahraich,Uttar pradesh,70yr,injured,The leopard attacked her while she was drawing water from tap at her home,Bahraich villagers in fear as animal attacks rise | Lucknow News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,12-06-22,leopard,turkaanjan,baramulla,Jammu & kashmir,14yr,Dead,The leopard attacked him while he was grazing his family's cows in the forest ,Leopards snatching children as Kashmir man-wild conflict worsens | Wildlife News | Al Jazeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,14/06/22,leopard,batangi,baramulla,Jammu & kashmir,6yr,Dead,The girl was taken away while she was walking in forest with her family,Leopards snatching children as Kashmir man-wild conflict worsens | Wildlife News | Al Jazeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,06-07-22,leopard,rajwar,kupwara,Jammu & kashmir,6yr,Dead,He was dragged from his uncle's courtyard,Leopards snatching children as Kashmir man-wild conflict worsens | Wildlife News | Al Jazeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,31/07/22,leopard,monabal haril,kupwara,Jammu & kashmir,4yr,Dead,The boy died after he attacked,Leopards snatching children as Kashmir man-wild conflict worsens | Wildlife News | Al Jazeera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,24/10/22,leopard,aarey colony,mumbai suburban,Maharastra,1.5yr,Dead,The leopard which was hiding in the bushes grabbed the child and dragged her to jungle,Rise in human-wildlife conflict in Aarey & SGNP; 10 animal attacks in one year; traps set to catch killer leopard | Mirror Now - Times Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,24/11/22,leopard,almora,almora,Uttarakhand,11yr,Dead,He was attacked on his way back home,"Leopards reign terror in hills of Uttarakhand, 3 killed in 3 days | Latest News India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,22/11/22,leopard,pabo,pauri garhwal,Uttarakhand,5yr,Dead,Leopard pounched on him and killed him,"Leopards reign terror in hills of Uttarakhand, 3 killed in 3 days | Latest News India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22/11/22,leopard,badiyar,almora,Uttarakhand,42yr,Dead,He went to market and later his mauled body was found,"Leopards reign terror in hills of Uttarakhand, 3 killed in 3 days | Latest News India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,21/11/22,leopard,nausar gumtiha,bahraich,Uttar pradesh,10yr,Dead,She was collecting vegetables from the field when the leopard attacked her,Leopards Maul Two Children to Death in Separate Savage At... - Newsweek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20/09/22,leopard,jambuda,visavadar,Gujarat,50yr,Dead,The leopard attacked him while he was asleep,"Leopard Kills Husband, Critically Injures Wife While They... - Newsweek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,06-07-22,leopard,jabal,amreli,Gujarat,80yr,Dead,She was asleep in her hut when the leopard attacked her,Blind Elderly Woman Mauled to Death As She Slept by Leopard - Newsweek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14/06/22,leopard,uri,baramulla,Jammu & kashmir,10yr,Dead,Her body was recovered from woodland,Child-eating leopard kills three kids in horror 48-hour rampage as villagers hunt predator | The US Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,21/08/20,leopard,maligoan,guwahati,Assam,6yr,Dead,The leopard suddenly pounced on the child and mauled him,Guwahati: 6-year-old child killed in leopard attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,22/10/20,leopard,bajwal,nainital,Uttarakhand,18yr,Dead,She was going to forest to fetch fodder when the leopard attacked her,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,21/10/20,leopard,tusrad,nainital,Uttarakhand,13yr,Dead,She was attacked by a man eater leopard,Leopard that killed 13-year-old girl in Uttarakhands Nainital declared man-eater | Hindustan Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,15/10/20,leopard,jaspur,us nagar,Uttarakhand,11yr,Dead,She was attacked while she was playing with her siblings outside her home,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,11-10-20,leopard,tehri Garhwal,Tehri Garhwal ,Uttarakhand,7yr,Dead,When the girl went to the washroom outside her house by herself.,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,07-10-20,leopard,berinag,pithoragarh,Uttarakhand,7yr,Dead,She was killed outside her house,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,01-10-20,leopard,pauri garhwal,pauri garhwal,Uttarakhand,14yr,Dead,When he took his cattle for grazing in the forest area,https://www.hindustantimes.com/dehradun/teenager-killed-by-leopard-in-nainital-2nd-fatality-in-same-area-in-24-hours/story-NIODmUfEGf2S9rlBReFJmO.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,24/09/20,leopard,pithoragarh,pithoragarh,Uttarakhand,11yr,Dead,When she was working near her house and collecting fodder,"Teenager killed by leopard in Nainital, 2nd fatality in same area in 24 hours | Hindustan Times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
